recno,ID,Ng,Name,RAJ2000,DEJ2000,zlambda,e_zlambda,lambda,e_lambda,S,zspec,ObjID,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zLum,PCen0,PCen1,PCen2,PCen3,PCen4,ID0,RA0deg,DE0deg,ID1,RA1deg,DE1deg,ID2,RA2deg,DE2deg,ID3,RA3deg,DE3deg,ID4,RA4deg,DE4deg,PZbin1,PZbin2,PZbin3,PZbin4,PZbin5,PZbin6,PZbin7,PZbin8,PZbin9,PZbin10,PZbin11,PZbin12,PZbin13,PZbin14,PZbin15,PZbin16,PZbin17,PZbin18,PZbin19,PZbin20,PZbin21,PZ1,PZ2,PZ3,PZ4,PZ5,PZ6,PZ7,PZ8,PZ9,PZ10,PZ11,PZ12,PZ13,PZ14,PZ15,PZ16,PZ17,PZ18,PZ19,PZ20,PZ21
116,182,91,"RMJ042336.1-604010.6",65.900556,-60.6696,0.5022,0.0115,49.62,3.27,1.0,,2947580198,21.3974,0.0247,19.5171,0.0098,18.827,0.0056,18.4475,0.0088,31.057,0.908,0.085,0.00639,2.67E-4,2.01E-4,2947580198,65.900558,-60.669601,2947580462,65.888824,-60.66367,2947579777,65.917023,-60.670246,2947580518,65.888161,-60.661404,2947579430,65.913528,-60.674557,0.4377,0.4442,0.4506,0.4571,0.4635,0.47,0.4764,0.4829,0.4893,0.4958,0.5022,0.5087,0.5151,0.5216,0.528,0.5345,0.541,0.5474,0.5539,0.5603,0.5668,5.97E-7,1.98E-5,4.49E-4,0.00736,0.0752,0.543,2.52,8.31,18.6,29.9,34.6,29.5,18.5,8.65,2.9,0.728,0.126,0.0163,0.0014,8.83E-5,3.51E-6
858,1525,47,"RMJ042351.3-600927.3",65.963788,-60.157572,0.4365,0.013,24.59,2.79,1.026,,2947335661,20.2748,0.0111,18.6705,0.0051,18.088,0.004,17.6978,0.005,15.3608,0.997,0.00263,9.16E-5,4.85E-6,1.29E-7,2947335661,65.963791,-60.157574,2947335129,65.957489,-60.157921,2947335521,65.962181,-60.151798,2947333989,65.956169,-60.170311,2947335173,65.960037,-60.155514,0.3756,0.3817,0.3878,0.3939,0.4,0.406,0.4121,0.4182,0.4243,0.4304,0.4365,0.4426,0.4486,0.4547,0.4608,0.4669,0.473,0.4791,0.4852,0.4912,0.4973,0.0103,0.0492,0.188,0.57,1.47,3.32,6.75,12.4,19.9,27.2,30.6,27.5,19.2,10.0,3.81,1.01,0.182,0.0219,0.00171,9.61E-5,3.89E-6
1014,1882,43,"RMJ042323.0-600207.4",65.845649,-60.035397,0.6937,0.0233,22.36,2.35,0.998,,2947345808,22.367,0.031,20.797,0.0131,19.7845,0.007,19.3354,0.0093,15.2269,0.977,0.0106,0.00851,0.00284,9.04E-4,2947345808,65.84565,-60.035397,2947345787,65.843468,-60.035385,2947345737,65.822929,-60.035572,2947345508,65.849854,-60.036568,2947344613,65.872322,-60.047054,0.5746,0.5865,0.5984,0.6103,0.6222,0.6341,0.646,0.658,0.6699,0.6818,0.6937,0.7056,0.7175,0.7294,0.7413,0.7532,0.7651,0.777,0.7889,0.8008,0.8127,4.64E-9,3.46E-6,3.78E-4,0.00887,0.0812,0.421,1.51,4.29,9.3,14.8,17.2,15.1,10.7,6.26,2.98,1.08,0.253,0.0327,0.00219,7.73E-5,1.8E-6
832,1457,51,"RMJ041816.5-602539.1",64.568929,-60.427521,0.4474,0.0118,26.0,2.7,1.0,,2948457758,21.3761,0.0251,19.5916,0.009,19.0119,0.0073,18.6451,0.011,15.5796,0.968,0.0273,0.00323,9.17E-4,7.96E-4,2948457758,64.568932,-60.427521,2948457336,64.553543,-60.42804,2948457288,64.550713,-60.430019,2948457267,64.568665,-60.428036,2948458517,64.571877,-60.412216,0.389,0.3948,0.4007,0.4065,0.4124,0.4182,0.424,0.4299,0.4357,0.4416,0.4474,0.4533,0.4591,0.4649,0.4708,0.4766,0.4825,0.4883,0.4941,0.5,0.5058,0.0029,0.0154,0.0695,0.259,0.843,2.39,5.83,12.1,20.9,29.7,33.7,30.1,20.5,10.2,3.55,0.831,0.137,0.0159,0.00132,8.09E-5,3.83E-6
345,556,54,"RMJ041830.6-601741.7",64.627506,-60.294921,0.4227,0.0134,31.91,2.56,1.008,,2944453054,21.237,0.02,19.5016,0.0081,18.9422,0.0053,18.6062,0.0079,22.5293,0.578,0.202,0.172,0.0443,0.00401,2944453054,64.627502,-60.294922,2944452607,64.626396,-60.298035,2944455691,64.63945,-60.281525,2948475361,64.619133,-60.310612,2944452748,64.626099,-60.294071,0.3636,0.3695,0.3754,0.3813,0.3872,0.3932,0.3991,0.405,0.4109,0.4168,0.4227,0.4286,0.4345,0.4405,0.4464,0.4523,0.4582,0.4641,0.47,0.4759,0.4819,7.54E-4,0.00874,0.0701,0.377,1.38,3.79,7.98,13.9,20.7,26.9,29.7,27.2,19.9,11.0,4.53,1.27,0.246,0.0297,0.00234,1.1E-4,3.49E-6
712,1216,43,"RMJ041506.4-594952.1",63.776829,-59.831152,0.3182,0.0192,23.4,2.33,1.004,,2943562108,19.9625,0.0122,18.4457,0.0058,17.9571,0.0037,17.6555,0.0067,15.6555,0.968,0.0163,0.00772,0.00494,0.00286,2943562108,63.776829,-59.831154,2943562312,63.769321,-59.821072,2943562958,63.768852,-59.808922,2943561885,63.783382,-59.828411,2943561858,63.773624,-59.829514,0.1768,0.1909,0.2051,0.2192,0.2333,0.2475,0.2616,0.2757,0.2899,0.304,0.3182,0.3323,0.3464,0.3606,0.3747,0.3888,0.403,0.4171,0.4312,0.4454,0.4595,1.44E-25,1.14E-18,2.53E-13,3.27E-9,4.16E-6,9.79E-4,0.0544,0.921,5.78,15.6,20.8,15.9,7.94,2.94,0.883,0.217,0.0397,0.00518,4.66E-4,3.37E-5,2.45E-6
1111,2218,43,"RMJ041911.0-595336.0",64.795817,-59.893344,0.5387,0.0118,20.57,2.32,1.004,,2944529725,22.2172,0.0387,20.4519,0.0139,19.5735,0.0066,19.1694,0.0098,14.8726,0.714,0.258,0.0192,0.00752,0.00123,2944529725,64.795815,-59.893345,2944529229,64.790222,-59.900166,2944529769,64.790367,-59.892986,2944523873,64.805382,-59.922997,2944523745,64.808121,-59.922848,0.4694,0.4764,0.4833,0.4902,0.4971,0.5041,0.511,0.5179,0.5248,0.5318,0.5387,0.5456,0.5525,0.5595,0.5664,0.5733,0.5802,0.5872,0.5941,0.601,0.608,2.11E-7,9.57E-6,2.85E-4,0.00517,0.0564,0.421,2.11,7.08,17.0,28.4,33.7,28.5,17.1,7.41,2.22,0.467,0.0729,0.00819,7.21E-4,5.59E-5,3.76E-6
459,754,45,"RMJ041856.3-595052.1",64.734511,-59.847816,0.2781,0.0171,23.4,2.2,1.007,,2944539826,18.6836,0.0046,17.2191,0.0019,16.7293,0.0015,16.4157,0.0021,22.1688,0.804,0.184,0.0107,9.16E-4,1.56E-4,2944539826,64.734512,-59.847816,2944539503,64.737457,-59.847843,2944542292,64.760704,-59.830311,2944539189,64.72506,-59.843693,2944539379,64.77935,-59.844948,0.1601,0.1719,0.1837,0.1955,0.2073,0.2191,0.2309,0.2427,0.2545,0.2663,0.2781,0.2899,0.3017,0.3135,0.3253,0.3372,0.349,0.3608,0.3726,0.3844,0.3962,5.51E-20,8.57E-15,1.2E-10,2.53E-7,8.69E-5,0.00782,0.2,1.93,8.49,18.6,23.4,18.3,9.5,3.48,0.906,0.181,0.0281,0.00339,3.56E-4,3.28E-5,2.65E-6
1006,1867,35,"RMJ042023.8-592043.3",65.099315,-59.345353,0.4331,0.0146,22.57,2.88,1.096,,2943779427,20.5994,0.0131,18.7828,0.0058,18.1918,0.0035,17.8257,0.0047,17.4797,0.704,0.292,0.00189,0.0014,8.26E-4,2943779427,65.099312,-59.345352,2943779346,65.104034,-59.347534,2943779029,65.099319,-59.346603,2943776559,65.080544,-59.352417,2943775054,65.085381,-59.361778,0.3611,0.3683,0.3755,0.3827,0.3899,0.3971,0.4043,0.4115,0.4187,0.4259,0.4331,0.4403,0.4475,0.4547,0.4619,0.4691,0.4763,0.4835,0.4907,0.4979,0.5051,5.42E-6,1.39E-4,0.00241,0.0276,0.21,1.05,3.63,8.99,16.8,24.2,27.5,24.5,17.2,9.5,4.05,1.18,0.225,0.0269,0.002,9.96E-5,3.13E-6
516,854,62,"RMJ041801.9-594745.0",64.507849,-59.795847,0.5564,0.0103,25.92,2.69,1.0,,2944546151,21.4037,0.0278,19.6305,0.0129,18.7466,0.006,18.3387,0.0077,20.9901,0.946,0.0406,0.00907,0.00295,0.0016,2944546151,64.507851,-59.795849,2944544791,64.478661,-59.797569,2944546531,64.487015,-59.785931,2944544691,64.509895,-59.798485,2944544639,64.491463,-59.80027,0.4874,0.4943,0.5012,0.5081,0.515,0.5219,0.5288,0.5357,0.5426,0.5495,0.5564,0.5633,0.5702,0.5771,0.584,0.5909,0.5978,0.6046,0.6115,0.6184,0.6253,3.03E-8,1.57E-6,4.97E-5,0.00112,0.017,0.166,1.14,5.24,15.6,30.8,39.0,31.2,15.7,5.12,1.17,0.188,0.0239,0.00275,2.95E-4,3.38E-5,4.53E-6
