clus_id,bcg_ra,bcg_dec,corrected_pa,sat_ra,sat_dec,theta,sat_majoraxis_angle
1_3224,193.3921,50.90394,287.88009999999997,"[193.66772 193.64325 193.5071  193.2264  193.21877 193.05153 192.85434
 192.99532 193.19125 193.15553 192.87141 193.60316 193.47069 193.39212
 193.54738 193.44247 193.35896 193.36499 193.27095 193.3318  193.91733]","[50.951527 50.940853 50.96945  51.111523 51.068024 51.034554 50.887573
 50.877766 50.84904  50.87215  50.7281   50.912212 50.891216 50.90396
 50.817047 50.888554 50.907867 50.890495 50.91414  50.908886 50.77528 ]","[285.31857039 283.12452065 312.11409859  26.66940824  33.62400136
  58.65837384  92.76257446  95.97003162 113.42162716 102.02519535
 118.12485317 273.55670585 255.60290106 328.77576244 228.44172631
 244.16058154  79.35538707 128.17828714  82.39556901  82.58869693
 248.79840778]","[2.561529614444794, 4.755579347150444, 155.7660014143936, 81.21069176460918, 74.2560986430517, 49.221726156343465, 15.117525535238656, 11.910068375370344, 174.45847284421882, 5.85490464900829, 169.75524683145912, 14.323394154003722, 32.27719893864975, 139.10433756389295, 59.43837369298967, 43.71951846367662, 28.5247129325042, 159.70181286033826, 25.484530990980943, 25.29140307337468, 39.081692221257754]"
2_19233,357.7107,6.1496,259.8582,[],[],[],[]
2_1435,173.0495,56.04783,352.85450000000003,"[172.7258  173.77196 173.36028 173.43304 173.19928 173.61546 173.01349
 173.0639  173.07803 173.31651 172.83582 172.00273 173.41313 173.2506
 173.11852 173.2094  173.0161  171.98866]","[55.62589  55.88366  55.800797 55.86622  55.984035 56.1985   55.934303
 55.905113 56.07603  56.283512 55.8452   55.89223  55.943333 55.871307
 55.996765 55.999226 56.07521  56.161797]","[156.69338112 247.90234832 215.17839904 229.77444279 232.6930721
 295.52936985 169.93928948 183.23213769 330.5386188  327.75577841
 149.43752996 104.87531942 242.80386167 212.52567752 217.06456958
 241.45708663  34.25805929  79.09609459]","[16.161118878007045, 104.952151678407, 137.67610095546658, 123.08005721488178, 120.16142790154205, 57.32513015115393, 2.91521051624909, 169.62236231422028, 22.31588120332134, 25.09872159460224, 23.416970038700526, 67.97918058010353, 110.05063833322626, 140.3288224771144, 135.78993042309656, 111.39741337246375, 138.5964407131463, 93.75840541089514]"
2_14948,336.5331,17.35652,322.1181,[],[],[],[]
2_8768,10.11781,29.55599,244.18759999999997,[],[],[],[]
2_3273,219.4378,48.59002,330.35780000000005,"[219.50124 219.35321 219.29453 219.43777 219.47737 219.4514  219.43799
 219.5041  219.42412 219.40555 219.0004  219.33041]","[48.71482  48.72595  48.737865 48.590027 48.576847 48.61193  48.568947
 48.625896 48.639374 48.619022 48.687775 48.354427]","[341.43824904  22.34601077  32.62151802  67.75616113 243.28774752
 337.68237489 180.33867068 309.29445346  10.38573027  36.32860353
  71.31405585 163.18537999]","[168.9195509582318, 128.01178922560138, 117.73628197679608, 82.60163887413853, 87.07005248409592, 172.67542511332482, 150.01912932333656, 21.063346540067982, 139.97206973260063, 114.02919646588049, 79.0437441511184, 167.1724200136827]"
2_11151,11.60317,20.62172,208.96519999999998,[],[],[],[]
2_2338,126.745,53.21244,315.9323,"[126.81195 126.82802 126.77876 126.64799 126.80682 126.96404 127.08308
 127.11682 127.04119 126.89109 126.74907]","[53.242874 52.974472 53.156586 53.221607 53.148518 53.03027  53.20494
 53.056828 53.116123 53.091686 53.539154]","[307.21125377 191.83212979 199.911839    81.03205174 210.09746642
 215.81384532 267.87886399 235.10048507 241.52433276 215.96168946
 359.57428952]","[8.721046225219766, 124.10017020615791, 116.02046100353994, 54.90024826312987, 105.83483358263442, 100.11845467803195, 48.053436013700946, 80.8318149252301, 74.40796723797891, 99.97061054073015, 136.3580104847535]"
2_11146,10.47933,21.37707,230.22610000000003,[],[],[],[]
2_13186,354.4556,20.80947,288.773,[],[],[],[]
