recno,ACO,RAB1950,DEB1950,Field,Xcen,Ycen,Atype,BMtype,Count,u_Count,m1,u_m1,m3,u_m3,m10,u_m10,Prev,Xpos,Ypos,GLON,GLAT,z,u_z,Rich,Dclass,m10A,NF_1,Obs_1,NF_2,Obs_2,NF_3,Obs_3,_RA_icrs,_DE_icrs
30,2742,2.8499999999999996,-23.916666666666664,"F473",-132,59,"R  ","II",66,?,18.1, ,19.0, ,19.3, ," ",296,223,53.27,-80.84,, ,1,6,17.4,1,C,1,O,, ,3.483904444444444,-23.63864194444444
1332,4044,356.69999999999993,-27.266666666666662,"F409",-163,147,"I  ","III",40, ,17.2, ,17.3, ,17.7, ," ",327,311,29.97,-76.19,, ,0,5,17.2,2,O,1,C,, ,357.34809777777775,-26.98858833333333
1319,4031,355.69999999999993,-24.766666666666662,"F537",-90,14,"R  ","I",55, ,17.5, ,18.0, ,19.2, ," ",254,178,39.32,-74.92,, ,1,6,17.4,1,O,, ,, ,356.34954138888884,-24.488886111111107
7,2719,0.35,-23.399999999999995,"F472",15,87,"I  ","I-II",41, ,15.4, ,16.7, ,17.5, ," ",149,251,50.79,-78.54,, ,0,5,17.2,1,O,, ,, ,0.9892866666666665,-23.12157
1349,4061,358.65,-23.816666666666663,"F472",-70,64,"I  ","III",40, ,18.4, ,18.7, ,19.1, ," ",234,228,46.27,-77.23,, ,0,6,17.4,1,O,, ,, ,359.29287972222215,-23.53826222222222
1343,4055,358.19999999999993,-21.466666666666665,"F538",-90,-76,"I  ","II?",60, ,16.7,?,17.6, ,18.8, ," ",254,88,54.85,-75.91,, ,1,6,17.3,1,C,, ,, ,358.8434930555555,-21.18831333333333
1357,4069,359.37499999999994,-21.666666666666664,"F538",-34,-89,"I  ","II-III",59, ,16.8, ,17.3, ,18.7, ," ",198,75,56.3,-76.97,, ,1,6,17.3,1,O,, ,, ,0.016269999999999996,-21.388224166666664
1353,4065,359.04999999999995,-21.53333333333333,"F538",-50,-80,"R  ","III",64,:,17.5, ,18.0, ,18.5, ," ",214,84,56.18,-76.64,, ,1,6,17.3,1,C,1,O,, ,359.6918847222222,-21.254903888888887
1360,4072,359.525,-21.38333333333333,"F538",-26,-74,"I  ","II-III",45, ,16.0, ,17.5, ,18.6, ," ",190,90,57.7,-76.95,, ,0,6,17.3,1,O,, ,, ,0.1659783333333333,-21.10488833333333
102,2814,10.224999999999998,-28.899999999999995,"F411",-62,61,"I  ","II",52, ,16.0, ,16.1, ,17.1, ," ",226,225,352.5,-87.67,, ,1,5,17.2,1,O,, ,, ,10.837735833333332,-28.626232222222217
99,2811,9.924999999999999,-28.816666666666663,"F411",-76,66,"R  ","I-II",73, ,15.6, ,16.9, ,17.3, ,"B",240,230,357.83,-87.51,, ,1,5,17.2,1,O,, ,, ,10.538616111111109,-28.542636666666663
130,2842,13.399999999999999,-24.38333333333333,"F474",113,33,"R  ","II-III",70, ,18.0, ,18.5, ,18.9, ,"B",51,197,142.19,-86.81,, ,1,6,17.3,1,C,, ,, ,14.010950277777775,-24.11280944444444
120,2832,12.399999999999999,-23.866666666666664,"F474",65,62,"R: ","I-II",45, ,17.7,?,18.7, ,19.5, ," ",99,226,125.23,-86.46,, ,0,6,17.4,1,C,, ,, ,13.01374222222222,-23.595034999999996
88,2800,8.874999999999998,-25.366666666666664,"F474",-106,-19,"I  ","III",59, ,15.0, ,15.1, ,15.6, ,"B",270,145,66.17,-86.36,, ,1,4,15.8,1,C,, ,, ,9.494730833333332,-25.091783888888884
112,2824,11.524999999999999,-21.616666666666664,"F540",48,-87,"R: ","III",46, ,13.6, ,14.4,?,15.3, ," ",116,77,116.35,-84.18,0.0486, ,0,3,15.5,1,C,, ,, ,12.143197499999998,-21.34413694444444
101,2813,10.224999999999998,-20.9,"F540",-15,-47,"I  ","III",155, ,18.1, ,18.4, ,19.4, ," ",179,117,106.71,-83.24,, ,3,6,17.4,1,C,, ,, ,10.846367777777777,-20.626247777777774
190,2902,19.824999999999996,-20.68333333333333,"F542",-60,-34,"R  ","II-III:",38, ,17.9, ,18.2, ,19.2, ," ",224,130,170.46,-80.36,, ,0,6,17.4,1,C,, ,, ,20.429731666666665,-20.421890277777774
178,2890,18.4,-21.299999999999997,"F541",129,-71,"RI ","II",91,:,16.7, ,17.6, ,18.1, ," ",35,93,166.89,-81.72,, ,2,6,17.3,1,O,, ,, ,19.006083055555553,-21.036255555555552
137,2849,14.149999999999999,-21.266666666666662,"F541",-83,-67,"IR ","III",31, ,17.8, ,18.4, ,19.1, ," ",247,97,139.17,-83.63,, ,0,6,17.4,1,O,, ,, ,14.763796666666664,-20.99703583333333
154,2866,15.999999999999998,-17.766666666666666,"F541",11,120,"I  ","I-II",82, ,15.4, ,16.5, ,17.8, ," ",153,284,143.53,-79.77,, ,2,5,17.2,1,O,, ,, ,16.615809166666665,-17.49942694444444
169,2881,17.2,-17.349999999999998,"F541",72,142,"I  ","II",36, ,14.4, ,14.9, ,15.4, ," ",92,306,148.48,-78.96,, ,0,3,15.6,1,O,, ,, ,17.81470222222222,-17.08445583333333
150,2862,15.674999999999997,-16.999999999999996,"F541",-6,161,"R: ","II",87, ,16.5, ,17.4, ,18.1, ," ",170,325,140.64,-79.13,, ,2,6,17.3,1,O,, ,, ,16.292415555555554,-16.73232333333333
