recno,ACO,RAB1950,DEB1950,Field,Xcen,Ycen,Atype,BMtype,Count,u_Count,m1,u_m1,m3,u_m3,m10,u_m10,Prev,Xpos,Ypos,GLON,GLAT,z,u_z,Rich,Dclass,m10A,NF_1,Obs_1,NF_2,Obs_2,NF_3,Obs_3,_RA_icrs,_DE_icrs
338,3050,41.05,-54.33333333333333,"F154",-8,37,"R  ","II",50, ,18.0, ,18.6, ,19.4, ," ",172,201,272.99,-55.84,, ,1,6,17.4,1,C,, ,, ,41.43583277777777,-54.12392305555555
337,3049,40.974999999999994,-53.39999999999999,"F154",-11,85,"I  ","III",46, ,17.9, ,18.1, ,19.4, ," ",175,249,271.75,-56.48,, ,0,6,17.4,1,C,, ,, ,41.3697386111111,-53.190364444444434
275,2987,32.699999999999996,-53.71666666666666,"F153",-14,71,"R  ","II-III",30, ,16.1, ,16.9, ,18.2, ,"DQ",178,235,278.83,-59.68,, ,0,6,17.3,1,O,, ,, ,33.13539722222222,-53.48288305555555
285,2997,33.474999999999994,-52.04999999999999,"F153",11,160,"I  ","III",30, ,18.0, ,18.2, ,19.3, ,"D",153,324,275.97,-60.67,, ,0,6,17.4,1,O,, ,, ,33.91837722222222,-51.818296944444434
326,3038,39.074999999999996,-52.61666666666666,"F154",-73,127,"I  ","II:",60, ,16.5,:,17.1, ,18.0, ,"D",237,291,272.01,-57.85,, ,1,6,17.3,1,C,1,O,, ,39.4858086111111,-52.40109388888888
333,3045,40.49999999999999,-51.66666666666666,"F198",97,-90,"IR ","II",32, ,14.8, ,16.0, ,16.7, ," ",67,74,269.59,-57.79,, ,0,5,16.9,2,O,, ,, ,40.91182638888888,-51.455547222222215
308,3020,36.37499999999999,-50.26666666666666,"F198",-41,-13,"IR ","I-II",59, ,16.6, ,17.8, ,18.9, ," ",205,151,270.77,-60.67,, ,1,6,17.3,1,O,, ,, ,36.81671083333333,-50.043075277777774
318,3030,37.224999999999994,-49.36666666666666,"F198",-11,36,"I  ","II",42, ,16.0, ,16.6, ,18.1, ," ",175,200,268.64,-60.85,, ,0,6,17.3,1,O,, ,, ,37.669102499999994,-49.14556666666666
362,3074,44.099999999999994,-52.91666666666666,"F154",85,111,"RI:","II",31,:,14.4, ,15.2, ,16.3,:,"DO",79,275,269.05,-55.27,, ,0,5,16.6,1,C,1,O,, ,44.484289999999994,-52.71731916666666
366,3078,44.724999999999994,-52.033333333333324,"F199",-14,-107,"RI ","I",40, ,14.6, ,15.5, ,16.8, ," ",178,57,267.39,-55.45,0.06, ,0,5,17.0,1,O,, ,, ,45.114551388888884,-51.83612833333333
365,3077,44.574999999999996,-51.64999999999999,"F199",-18,-86,"I  ","II",36, ,15.5, ,16.7, ,17.2, ," ",182,78,266.91,-55.73,, ,0,5,17.2,1,O,, ,, ,44.96862722222222,-51.45228833333333
401,3113,49.04999999999999,-48.99999999999999,"F200",-124,53,"RI ","I",55, ,16.7, ,17.3, ,17.6, ," ",288,217,260.47,-54.46,, ,1,5,17.2,2,O,, ,, ,49.4487311111111,-48.81820416666666
396,3108,48.39999999999999,-47.81666666666666,"F200",-150,116,"IR ","II",73, ,15.6, ,15.7, ,16.0, ," ",314,280,258.88,-55.33,0.0632, ,1,4,16.2,1,O,, ,, ,48.81085666666666,-47.63251249999999
373,3085,45.55,-49.11666666666666,"F199",15,49,"I  ","III",56, ,16.1, ,17.5, ,18.6, ," ",149,213,262.42,-56.47,, ,1,6,17.3,1,O,, ,, ,45.96099555555555,-48.92235305555555
378,3090,46.699999999999996,-48.41666666666666,"F199",57,86,"IR ","I-II",34, ,17.3, ,17.8, ,18.6, ," ",107,250,260.68,-56.11,, ,0,6,17.3,1,O,, ,, ,47.11222972222222,-48.22639833333333
388,3100,48.04999999999999,-47.98333333333333,"F199",106,108,"IR ","I",46,:,14.6, ,15.4, ,15.9, ," ",58,272,259.31,-55.48,, ,0,4,16.1,1,O,, ,, ,48.46076416666666,-47.79790638888888
381,3093,47.29999999999999,-47.58333333333333,"F199",80,129,"R: ","I",93, ,15.0, ,15.6, ,16.2, ," ",84,293,259.02,-56.1,0.0585, ,2,4,16.4,1,O,, ,, ,47.71663333333333,-47.3952136111111
348,3060,42.474999999999994,-48.89999999999999,"F199",-93,60,"I  ","II-III",42, ,16.6, ,16.8, ,18.0, ," ",257,224,263.94,-58.33,, ,0,6,17.3,1,O,, ,, ,42.89999166666666,-48.6952886111111
360,3072,43.89999999999999,-47.79999999999999,"F247",64,-149,"I  ","III",37, ,18.0, ,18.1, ,18.8, ," ",100,15,261.23,-58.06,, ,0,6,17.3,1,O,, ,, ,44.327612499999994,-47.60005222222222
345,3057,41.87499999999999,-48.61666666666666,"F199",-112,73,"I  ","II",31, ,16.5, ,17.3, ,18.3, ," ",276,237,263.88,-58.81,, ,0,6,17.3,2,O,, ,, ,42.30456555555555,-48.409997222222216
343,3055,41.64999999999999,-48.01666666666666,"F199",-124,107,"IR ","I-II",40, ,16.1, ,17.4, ,17.8, ," ",288,271,263.04,-59.26,, ,0,5,17.2,1,O,, ,, ,42.08485999999999,-47.80927499999999
347,3059,42.3,-46.51666666666666,"F247",7,-80,"IR ","I-II",40, ,15.4, ,16.0, ,17.4, ,"Q",157,84,260.05,-59.63,, ,0,5,17.2,1,O,, ,, ,42.74290527777777,-46.311411111111106
335,3047,40.849999999999994,-46.66666666666666,"F247",-46,-88,"R  ","I",45, ,15.5, ,16.1, ,16.8, ,"QR",210,76,261.29,-60.42,, ,0,5,17.0,1,O,, ,, ,41.29742333333333,-46.45672166666666
359,3071,43.8,-47.199999999999996,"F199",-47,152,"IR ","I-II",40, ,17.8, ,18.3, ,19.4, ," ",211,316,260.28,-58.4,, ,0,6,17.4,1,O,, ,, ,44.232411111111105,-46.99972277777777
364,3076,44.24999999999999,-45.24999999999999,"F247",81,-13,"RI ","I-II",49, ,17.1, ,17.4, ,18.6, ," ",83,151,256.65,-58.97,, ,0,6,17.3,1,O,, ,, ,44.69452333333333,-45.051271111111106
356,3068,43.37499999999999,-44.533333333333324,"F247",48,26,"IR ","II",61,:,15.6,:,17.5, ,18.6, ,"Q",116,190,255.86,-59.83,, ,1,6,17.3,1,O,, ,, ,43.827363333333324,-44.331662222222214
367,3079,44.8,-44.58333333333333,"F247",104,22,"IR ","I-II",39, ,17.8, ,18.1, ,19.3, ," ",60,186,255.16,-58.87,, ,0,6,17.4,2,O,, ,, ,45.247158333333324,-44.386491388888885
650,3362,85.1,-61.73333333333333,"F120",-14,-91,"RI ","I-II",30, ,15.4, ,16.1, ,17.1, ,"BD",178,73,270.78,-31.96,, ,0,5,17.1,1,O,, ,, ,85.22479416666665,-61.70982805555555
622,3334,79.29999999999998,-58.599999999999994,"F119",91,73,"R  ","I-II",82, ,15.1, ,16.2, ,16.9, ,"D",73,237,267.17,-34.97,0.0953, ,2,5,17.0,1,C,, ,, ,79.49263444444443,-58.54873499999999
600,3312,75.74999999999999,-56.99999999999999,"F158",42,-109,"IR:","III",118, ,15.8,:,16.3,:,17.1,:,"D",122,55,265.4,-36.99,, ,2,5,17.0,2,C,, ,, ,75.97532555555554,-56.93196166666666
586,3298,74.35,-57.76666666666666,"F119",-48,119,"IR:","III",58, ,18.1, ,18.3, ,19.2, ,"D",212,283,266.47,-37.65,, ,1,6,17.3,2,C,, ,, ,74.56573499999999,-57.69202805555555
608,3320,76.77499999999999,-56.566666666666656,"F158",73,-86,"RI ","III",40, ,18.8, ,19.0, ,19.6, ," ",91,78,264.8,-36.47,, ,0,6,17.3,1,C,, ,, ,77.00530138888888,-56.50348194444444
619,3331,78.49999999999999,-50.39999999999999,"F204",-138,-24,"I  ","II",35, ,16.2, ,16.5, ,17.7, ," ",302,140,257.13,-35.63,, ,0,5,17.1,1,O,, ,, ,78.81089055555555,-50.34520222222221
618,3330,78.35,-49.11666666666666,"F203",115,45,"R  ","II",52,:,14.8, ,15.8, ,17.0, ," ",49,209,255.55,-35.69,0.0903, ,1,5,17.0,1,C,1,O,, ,78.67569333333333,-49.061189999999996
614,3326,77.87499999999999,-49.74999999999999,"F203",97,11,"IR ","II:",65, ,17.6, ,18.0, ,19.2, ," ",67,175,256.32,-36.01,, ,1,6,17.3,1,C,, ,, ,78.19413916666666,-49.692246944444435
566,3278,68.69999999999999,-58.099999999999994,"F118",58,100,"RI ","II-III?",68, ,16.5, ,17.1, ,17.8, ,"D",106,264,267.59,-40.54,, ,1,5,17.2,1,C,, ,, ,68.92428833333332,-57.999329166666655
497,3209,60.37499999999999,-53.64999999999999,"F156",82,74,"I  ","III",32, ,16.8, ,18.6, ,19.3, ," ",82,238,263.38,-46.21,, ,0,6,17.4,1,O,, ,, ,60.68700277777777,-53.51298305555555
591,3303,74.94999999999999,-51.349999999999994,"F203",-4,-71,"R  ","II-III",77, ,16.0,?,16.6, ,17.6, ," ",168,93,258.34,-37.86,, ,1,5,17.1,1,C,, ,, ,75.25453333333333,-51.278385833333324
599,3311,75.725,-49.54999999999999,"F203",22,24,"RI ","II-III",49, ,17.4, ,17.9, ,18.5, ," ",142,188,256.06,-37.4,, ,0,5,17.2,1,C,, ,, ,76.04922249999998,-49.48207944444444
594,3306,75.29999999999998,-49.599999999999994,"F203",7,21,"RI ","II-III?",108, ,17.0, ,17.4, ,18.0, ," ",157,185,256.12,-37.68,, ,2,5,17.2,1,C,, ,, ,75.62427416666665,-49.53007833333333
590,3302,74.85,-49.11666666666666,"F203",-7,48,"R  ","III",55, ,19.0, ,19.1, ,19.5, ," ",171,212,255.52,-37.98,, ,1,6,17.3,1,C,, ,, ,75.18027722222222,-49.04464416666666
605,3317,76.49999999999999,-49.18333333333333,"F203",50,43,"IR ","III",49, ,17.2, ,17.5, ,18.2, ," ",114,207,255.6,-36.9,, ,0,5,17.2,1,C,, ,, ,76.8272361111111,-49.11907916666666
559,3271,67.94999999999999,-49.64999999999999,"F202",13,21,"R: ","I-II",74, ,16.4, ,17.3, ,18.0, ," ",151,185,256.57,-42.43,, ,1,6,17.3,1,O,, ,, ,68.28700583333332,-49.54619694444444
552,3264,67.52499999999999,-49.41666666666666,"F202",-1,34,"I  ","II",53, ,15.4, ,16.2, ,16.5, ,"B",165,198,256.3,-42.73,, ,1,5,16.7,1,O,, ,, ,67.8654111111111,-49.310957499999994
568,3280,69.12499999999999,-49.08333333333333,"F202",55,50,"I  ","III",64, ,15.8,*,17.3, ,18.3, ," ",109,214,255.71,-41.72,, ,1,6,17.3,1,O,, ,, ,69.4655986111111,-48.98485944444444
571,3283,69.925,-48.599999999999994,"F202",84,76,"RI ","III",41, ,17.5,?,18.3, ,19.1, ," ",80,240,255.01,-41.23,, ,0,6,17.4,1,O,, ,, ,70.2691111111111,-48.505181111111106
542,3254,65.99999999999999,-46.849999999999994,"F250",108,-99,"RI ","II:",44, ,16.8, ,17.6,:,18.3,:,"B",56,65,252.94,-44.01,, ,0,5,17.2,2,O,, ,, ,66.36938416666666,-46.737537499999995
535,3247,64.925,-46.599999999999994,"F250",69,-85,"I  ","II-III",52, ,16.4, ,16.8, ,17.7, ," ",95,79,252.69,-44.77,, ,1,5,17.2,1,O,, ,, ,65.29903666666665,-46.482788333333325
540,3252,65.55,-46.21666666666666,"F250",93,-66,"RI?","II-III",80,:,17.8,:,18.2, ,18.7, ," ",71,98,252.1,-44.38,, ,2,6,17.3,1,O,1,A,, ,65.92625277777776,-46.102222499999996
543,3255,66.425,-46.51666666666666,"F250",125,-83,"R  ","II:",43,:,17.3, ,17.8, ,18.2, ,"B",39,81,252.44,-43.75,, ,0,6,17.3,1,O,1,A,, ,66.79664499999998,-46.406102222222216
567,3279,69.1,-46.16666666666666,"F251",-31,-61,"I  ","II-III",40, ,15.6, ,16.2, ,17.7, ," ",195,103,251.8,-41.93,, ,0,5,17.2,1,O,, ,, ,69.46978277777777,-46.068146944444436
570,3282,69.87499999999999,-45.283333333333324,"F251",-2,-13,"RI ","I-II",56, ,16.6, ,17.1, ,18.3, ,"B",166,151,250.6,-41.41,, ,1,6,17.3,1,O,, ,, ,70.25166666666665,-45.18836194444444
572,3284,69.94999999999999,-45.14999999999999,"F251",1,-6,"R  ","I",64, ,15.7, ,18.1, ,19.1, ," ",163,158,250.42,-41.36,, ,1,6,17.4,1,O,, ,, ,70.32776527777777,-45.05537388888888
558,3270,67.87499999999999,-45.949999999999996,"F251",-77,-49,"RI ","II-III",52, ,16.5, ,18.6, ,19.3, ,"B",241,115,251.57,-42.79,, ,1,6,17.4,1,O,, ,, ,68.24908194444444,-45.84594416666666
546,3258,66.55,-44.74999999999999,"F250",132,12,"IR ","I-II",53, ,18.3,:,19.0, ,19.4, ," ",32,176,249.99,-43.78,, ,1,6,17.4,1,O,1,A,, ,66.93748027777777,-44.640029722222216
651,3363,85.94999999999999,-47.96666666666666,"F204",122,108,"R  ","I",139, ,15.9,:,16.8,:,17.7, ," ",42,272,254.73,-30.57,, ,3,5,17.1,2,O,1,C,, ,86.28250166666666,-47.94778611111111
649,3361,84.89999999999999,-48.18333333333333,"F204",84,98,"RI ","I-II",48, ,16.3, ,16.8, ,17.6, ," ",80,262,254.87,-31.3,, ,0,5,17.1,1,O,, ,, ,85.2306161111111,-48.15935999999999
647,3359,84.02499999999999,-45.33333333333333,"F253",0,-18,"I  ","III:",78, ,16.5,?,17.0, ,17.6, ," ",164,146,251.46,-31.5,, ,1,5,17.1,1,C,, ,, ,84.38545027777776,-45.30519888888888
638,3350,82.35,-49.96666666666666,"F204",-6,3,"I  ","III",30, ,16.8, ,17.5, ,17.9, ," ",170,167,256.76,-33.14,, ,0,5,17.1,1,O,, ,, ,82.66216944444443,-49.93032833333333
625,3337,80.19999999999999,-49.23333333333333,"F204",-82,42,"I  ","III",30, ,16.1,*,18.5, ,19.1, ," ",246,206,255.76,-34.48,, ,0,6,17.3,1,O,, ,, ,80.52243555555555,-49.18668749999999
626,3338,80.32499999999999,-48.31666666666666,"F204",-79,90,"IR ","II-III",31, ,15.9, ,16.9, ,17.3, ," ",243,254,254.66,-34.34,0.0446,),0,5,17.1,1,O,, ,, ,80.65741944444443,-48.27064416666666
633,3345,81.42499999999998,-47.86666666666666,"F204",-40,116,"IR ","II",40, ,17.6, ,18.7, ,19.3, ," ",204,280,254.19,-33.57,, ,0,6,17.3,1,O,1,C,, ,81.76129999999999,-47.825934444444435
636,3348,81.69999999999999,-47.66666666666666,"F204",-31,126,"RI ","I-II",74, ,16.1, ,17.3, ,18.4, ," ",195,290,253.97,-33.37,, ,1,5,17.2,1,O,, ,, ,82.03820805555554,-47.627261944444435
634,3346,81.475,-47.39999999999999,"F253",-93,-129,"RI ","I-II",86,:,17.3, ,17.8, ,19.0, ," ",257,35,253.64,-33.5,, ,2,5,17.2,1,C,1,O,, ,81.81619555555554,-47.35952027777777
631,3343,81.12499999999999,-47.24999999999999,"F253",-107,-124,"RI ","I-II",64, ,17.0, ,17.8, ,18.2, ," ",271,40,253.43,-33.72,, ,1,5,17.2,1,C,2,O,, ,81.46804527777776,-47.20784249999999
640,3352,82.725,-47.599999999999994,"F204",6,131,"RI ","II-III",83, ,16.9, ,17.9, ,18.9, ," ",158,295,253.98,-32.68,, ,2,5,17.2,1,O,1,C,, ,83.06316416666665,-47.56553277777777
637,3349,82.04999999999998,-47.43333333333333,"F253",-72,-130,"IR?","II",81,:,16.2,:,17.3, ,17.8, ," ",236,34,253.72,-33.11,, ,2,5,17.1,1,C,1,O,, ,82.39040444444443,-47.395618611111104
635,3347,81.54999999999998,-47.18333333333333,"F204",-37,152,"RI ","I-II",112, ,16.6, ,17.9, ,18.2, ," ",201,316,253.39,-33.43,, ,2,5,17.2,1,O,, ,, ,81.89339888888888,-47.14321972222221
617,3329,78.29999999999998,-44.783333333333324,"F252",46,13,"R: ","I",58, ,15.9, ,17.5, ,18.6, ," ",118,177,250.23,-35.45,, ,1,5,17.2,1,O,, ,, ,78.67005916666666,-44.72772555555555
620,3332,78.74999999999999,-42.26666666666666,"F305",29,-120,"R  ","I",45, ,14.9, ,16.5,:,17.4,:,"Q",135,44,247.21,-34.86,, ,0,5,17.0,2,O,, ,, ,79.14244083333332,-42.21325805555555
648,3360,84.69999999999999,-43.41666666666666,"F253",26,86,"RI ","III",85, ,15.8, ,16.2, ,16.7, ," ",138,250,249.34,-30.71,, ,2,5,16.8,1,C,, ,, ,85.0782736111111,-43.391841388888885
654,3366,86.62499999999999,-41.26666666666666,"F306",84,-68,"I  ","II-III",40, ,16.0, ,17.8, ,19.2, ," ",80,96,247.23,-28.9,, ,0,6,17.3,1,O,, ,, ,87.02168749999998,-41.251217499999996
624,3336,79.975,-40.86666666666666,"F305",79,-46,"R  ","I",33, ,14.5, ,15.4, ,16.6, ," ",85,118,245.69,-33.75,, ,0,5,16.7,1,O,, ,, ,80.37840083333332,-40.81913972222222
644,3356,83.32499999999999,-38.166666666666664,"F306",-49,99,"I  ","II",30, ,14.7, ,15.2, ,15.9, ," ",213,263,243.12,-30.72,, ,0,4,16.0,1,O,, ,, ,83.74824333333332,-38.135303333333326
639,3351,82.52499999999999,-38.39999999999999,"F306",-83,87,"IR ","II-III",114, ,15.3, ,15.8, ,16.1, ," ",247,251,243.23,-31.38,, ,2,4,16.2,1,O,, ,, ,82.94679944444444,-38.36477277777777
645,3357,83.57499999999999,-36.916666666666664,"F306",-39,167,"I  ","III",49, ,18.0, ,18.6, ,19.4, ," ",203,331,241.75,-30.25,, ,0,6,17.3,1,O,, ,, ,84.00773444444444,-36.886534166666664
604,3316,76.37499999999999,-47.81666666666666,"F203",48,116,"IR ","I-II?",63, ,17.0,?,18.1, ,18.8, ," ",116,280,253.89,-36.95,, ,1,5,17.2,1,C,, ,, ,76.71709027777777,-47.75185722222221
602,3314,76.07499999999999,-45.55,"F252",-39,-28,"IR ","II-III",52,:,17.0,:,18.0, ,18.7, ," ",203,136,251.04,-37.07,, ,1,5,17.2,1,O,, ,, ,76.4401836111111,-45.48382861111111
610,3322,77.27499999999999,-45.383333333333326,"F252",6,-19,"R  ","I",75, ,15.6, ,18.0, ,18.9, ," ",158,145,250.9,-36.22,, ,1,5,17.2,1,O,, ,, ,77.64041083333332,-45.32284194444444
580,3292,72.1,-44.76666666666666,"F251",83,13,"RI ","I-II",67, ,16.8, ,17.4, ,18.7, ," ",81,177,249.92,-39.84,, ,1,6,17.3,1,O,, ,, ,72.47787972222221,-44.68193305555555
612,3324,77.54999999999998,-44.26666666666666,"F252",17,41,"I  ","I-II",37, ,15.9, ,17.5, ,18.6, ," ",147,205,249.54,-35.94,, ,0,5,17.2,1,O,, ,, ,77.9256411111111,-44.20750555555555
616,3328,78.07499999999999,-42.36666666666666,"F252",39,143,"I  ","II",62, ,15.9, ,17.5, ,18.5, ,"Q",125,307,247.26,-35.36,, ,1,5,17.2,1,O,, ,, ,78.46717416666665,-42.310041388888884
593,3305,75.04999999999998,-39.28333333333333,"F305",-123,38,"IR ","I-II",85, ,16.8, ,17.5, ,18.9, ," ",287,202,243.12,-37.26,, ,2,5,17.2,2,O,, ,, ,75.47059138888888,-39.21246694444444
578,3290,71.475,-44.96666666666666,"F251",58,3,"I  ","II-III",40, ,16.6, ,17.4, ,18.1, ," ",106,167,250.17,-40.29,, ,0,6,17.3,1,O,, ,, ,71.85199083333332,-44.8790425
589,3301,74.77499999999999,-38.74999999999999,"F304",135,65,"R  ","I",172, ,13.0, ,14.1, ,15.4, ," ",29,229,242.42,-37.41,, ,3,3,15.5,2,O,, ,, ,75.20001777777777,-38.67785249999999
579,3291,71.52499999999999,-39.883333333333326,"F304",-2,8,"RI ","II-III",47, ,17.6, ,17.8, ,18.5, ," ",166,172,243.53,-40.03,, ,0,6,17.3,1,O,, ,, ,71.94497638888888,-39.79604166666666
615,3327,78.04999999999998,-39.21666666666666,"F305",1,43,"RI ","I-II",41, ,16.0, ,16.5, ,18.1, ," ",163,207,243.44,-34.95,, ,0,5,17.2,1,O,, ,, ,78.46833472222221,-39.15998583333333
609,3321,77.02499999999999,-36.199999999999996,"F362",-45,-64,"R  ","III",74, ,18.8, ,19.3, ,19.6, ," ",209,100,239.64,-35.25,, ,1,6,17.3,1,C,, ,, ,77.46704805555555,-36.138508888888886
592,3304,74.975,-35.916666666666664,"F361",126,-51,"R  ","II-III",70, ,17.0, ,17.8, ,18.8, ," ",38,113,238.94,-36.83,, ,1,5,17.2,1,O,1,C,, ,75.4208525,-35.84550888888889
584,3296,73.35,-36.3,"F361",56,-70,"RI ","I-II",61, ,16.1, ,16.8, ,17.8, ," ",108,94,239.15,-38.19,, ,1,5,17.1,1,O,, ,, ,73.79468388888888,-36.22123333333333
597,3309,75.49999999999999,-34.01666666666666,"F361",153,49,"I  ","I-II",46, ,16.7, ,18.1, ,18.4, ," ",11,213,236.71,-36.06,, ,0,5,17.2,1,O,, ,, ,75.95869194444444,-33.94800972222222
598,3310,75.64999999999999,-33.3,"F362",-107,90,"I  ","III",71, ,17.7, ,18.1, ,18.9, ," ",271,254,235.88,-35.8,, ,1,5,17.2,1,C,, ,, ,76.1134386111111,-33.23206138888889
490,3202,59.74999999999999,-53.79999999999999,"F156",61,67,"I  ","II",65,:,15.3,:,15.4,:,15.6,:," ",103,231,263.75,-46.52,0.0388, ,1,4,15.8,1,O,, ,, ,60.06226777777777,-53.660346944444434
503,3215,60.79999999999999,-53.01666666666666,"F201",23,-160,"I  ","II-III",39, ,15.6, ,17.3, ,18.0, ," ",141,4,262.4,-46.15,, ,0,6,17.3,1,O,, ,, ,61.11813666666666,-52.88146527777777
481,3193,59.224999999999994,-52.48333333333333,"F201",-28,-131,"RI ","I",41, ,13.0, ,14.6, ,15.4, ,"D",192,33,262.05,-47.22,0.034, ,0,3,15.6,2,O,, ,, ,59.554271111111106,-52.341514999999994
451,3163,56.074999999999996,-51.66666666666666,"F200",115,-91,"RI ","I-II",43, ,17.0, ,18.0, ,18.9, ," ",49,73,261.8,-49.31,, ,0,6,17.3,2,O,, ,, ,56.42361027777777,-51.51193249999999
467,3179,57.69999999999999,-48.74999999999999,"F201",-83,68,"IR ","III",41, ,16.8, ,17.3, ,18.0, ,"D",247,232,257.06,-49.17,, ,0,6,17.3,1,O,, ,, ,58.072374166666656,-48.601944722222214
516,3228,62.42499999999999,-48.98333333333333,"F201",84,55,"RI ","I-II",60, ,15.4,?,17.5, ,18.8, ,"D",80,219,256.4,-46.09,, ,1,6,17.3,1,O,, ,, ,62.782012777777766,-48.85517638888888
492,3204,59.974999999999994,-46.949999999999996,"F250",-112,-105,"I  ","II-III",32, ,16.2, ,16.8, ,17.7, ," ",276,59,253.9,-48.07,, ,0,5,17.2,1,O,, ,, ,60.357653055555545,-46.81144694444444
418,3130,52.49999999999999,-47.26666666666666,"F200",-3,148,"I  ","III",36, ,16.4, ,16.7, ,18.0, ," ",167,312,256.35,-52.92,, ,0,6,17.3,1,O,, ,, ,52.90155999999999,-47.09790166666666
524,3236,63.17499999999999,-46.33333333333333,"F250",5,-70,"R  ","II",64, ,16.9, ,18.3, ,18.8, ," ",159,94,252.51,-46.0,, ,1,6,17.3,1,O,1,A,, ,63.5554036111111,-46.2084761111111
522,3234,62.99999999999999,-46.01666666666666,"F250",-2,-53,"I  ","II-III",31, ,15.1, ,16.5, ,17.3, ," ",166,111,252.08,-46.16,, ,0,5,17.2,1,O,, ,, ,63.38366138888888,-45.891056944444436
523,3235,63.14999999999999,-45.68333333333333,"F250",1,-34,"I  ","II",69, ,16.9, ,17.5, ,18.4, ,"B",163,130,251.59,-46.09,, ,1,6,17.3,1,A,, ,, ,63.53629388888888,-45.55838055555555
534,3246,64.89999999999999,-46.04999999999999,"F250",69,-56,"I  ","III",50,:,17.3, ,17.5, ,18.0, ," ",95,108,251.92,-44.84,, ,1,6,17.3,1,O,, ,, ,65.2791586111111,-45.932689722222214
533,3245,64.475,-45.199999999999996,"F250",54,-10,"IR?","II-III",64,?,17.0, ,17.5,:,18.2, ," ",110,154,250.76,-45.21,, ,1,6,17.3,1,O,1,A,, ,64.86268499999998,-45.080838888888884
528,3240,63.974999999999994,-45.33333333333333,"F250",35,-17,"R  ","II-III?",71, ,17.6, ,18.0, ,18.8, ," ",129,147,251.0,-45.55,, ,1,6,17.3,1,O,1,A,, ,64.36257472222222,-45.21198
521,3233,62.99999999999999,-45.283333333333324,"F250",-1,-14,"IR ","III",70, ,17.5, ,18.2, ,19.4, ," ",165,150,251.03,-46.24,, ,1,6,17.4,1,O,, ,, ,63.39014972222221,-45.15773805555555
515,3227,62.39999999999999,-45.23333333333333,"F250",-24,-12,"IR ","III",52, ,17.8, ,18.1, ,19.3, ," ",188,152,251.03,-46.67,, ,1,6,17.4,1,O,, ,, ,62.791933055555546,-45.105146111111104
531,3243,64.3,-42.533333333333324,"F250",51,133,"I  ","III",67, ,17.7, ,18.0, ,18.7, ," ",113,297,246.99,-45.51,, ,1,6,17.3,1,O,, ,, ,64.71050777777776,-42.41345555555555
526,3238,63.82499999999999,-42.61666666666666,"F250",32,128,"I  ","II-III",43, ,15.9, ,17.2, ,18.2, ," ",132,292,247.13,-45.86,, ,0,6,17.3,1,O,, ,, ,64.2357636111111,-42.49470999999999
502,3214,60.77499999999999,-41.61666666666666,"F302",89,-86,"R  ","III",55, ,17.7, ,18.0, ,19.1, ," ",75,78,245.86,-48.18,, ,1,6,17.4,1,C,, ,, ,61.199793611111104,-41.48159305555555
477,3189,58.99999999999999,-39.74999999999999,"F302",18,15,"RI ","II:",65, ,17.6,:,18.5, ,19.6, ," ",146,179,243.16,-49.64,, ,1,6,17.4,1,C,, ,, ,59.44214388888888,-39.60748583333333
527,3239,63.92499999999999,-39.06666666666666,"F303",-46,53,"IR?","II-III?",81, ,16.6,:,17.4,?,18.4, ," ",210,217,242.03,-45.85,, ,2,6,17.3,1,C,, ,, ,64.36264694444444,-38.945208333333326
421,3133,52.77499999999999,-46.11666666666666,"F249",-116,-61,"I  ","III",33,:,15.1,:,15.3,:,16.0,:," ",280,103,254.43,-53.08,, ,0,4,16.2,1,O,, ,, ,53.185126944444434,-45.94898444444444
420,3132,52.62499999999999,-44.36666666666666,"F249",-131,33,"IR ","II:",56, ,15.8,?,17.0,:,18.2,:,"Q",295,197,251.64,-53.64,, ,1,5,17.2,2,O,, ,, ,53.04919888888888,-44.198431388888885
399,3111,49.02499999999999,-45.91666666666666,"F248",-1,-46,"R  ","I-II",54, ,15.1, ,15.4, ,16.1, ," ",165,118,255.48,-55.62,, ,1,4,16.3,1,O,, ,, ,49.44854666666666,-45.734826944444436
392,3104,48.14999999999999,-45.599999999999994,"F248",-33,-30,"R: ","I",37, ,15.4, ,15.6, ,16.0, ," ",197,134,255.32,-56.3,, ,0,4,16.2,1,O,, ,, ,48.57878916666666,-45.41497055555555
390,3102,48.12499999999999,-44.81666666666666,"F248",-35,13,"R  ","I-II",33, ,16.2, ,17.3, ,18.0, ," ",199,177,254.0,-56.58,, ,0,6,17.3,1,O,, ,, ,48.559574444444436,-44.63155777777777
400,3112,49.04999999999999,-44.41666666666666,"F248",0,34,"R: ","I",116,:,14.7, ,15.5, ,15.9, ," ",164,198,252.94,-56.08,0.0703, ,2,4,16.1,1,O,, ,, ,49.48452694444444,-44.234940555555546
397,3109,48.724999999999994,-44.033333333333324,"F248",-12,54,"R: ","I",32,:,13.9, ,15.6, ,16.8, ," ",176,218,252.41,-56.42,0.0673, ,0,5,17.0,1,O,, ,, ,49.16326305555555,-43.85042055555555
412,3124,50.39999999999999,-44.68333333333333,"F248",52,18,"IR ","III",39, ,15.8, ,17.5, ,18.2, ," ",112,182,252.89,-55.09,, ,0,6,17.3,1,O,, ,, ,50.82842555555555,-44.50661722222222
