gz_id,gz_ra,gz_dec,gz_z
447131276940437504 ,18.600166,0.4700294,0.046945572
447132651329972224 ,18.637148,0.23376621,0.04494008
447133475963693056 ,18.48826,0.37142512,0.04538947
447134025719506944 ,18.516136,0.30755642,0.0459184
447135125231134720 ,18.592216,0.19694404,0.043327384
447141722300901376 ,18.707598,0.69762367,0.046202816
447142272056715264 ,18.805346,0.49118686,0.0423486
447142546934622208 ,18.853607,0.28182286,0.04667191
447142821812529152 ,18.733812,0.39151883,0.044254016
447143096690436096 ,18.695591,0.5246894,0.045394078
447143921324156928 ,18.818066,0.30949914,0.043291107
447144471079970816 ,18.944464,0.5451492,0.040413704
447144745957877760 ,18.873693,0.33102638,0.04286351
447145570591598592 ,18.78665,0.26580977,0.042866524
447146395225319424 ,18.74372,0.26327872,0.04529358
447146670103226368 ,18.784285,0.22710247,0.04374064
447155191318341632 ,19.015976,0.40061206,0.04687977
448196703623866368 ,18.789663,0.68142515,0.04297041
448196978501773312 ,18.70797,0.72453487,0.04540437
448199452402935808 ,18.632486,0.6671941,0.04655037
448199727280842752 ,18.806065,0.718722,0.044281613
448200277036656640 ,18.590391,0.68977576,0.044740967
448202201182005248 ,18.60289,0.40804425,0.046590656
448203850449446912 ,18.607042,0.53607994,0.04103607
448204125327353856 ,18.481474,0.567418,0.041845653
448204400205260800 ,18.62445,0.21520631,0.04631242
448206049472702464 ,18.589788,0.17974196,0.044250973
448206874106423296 ,18.481092,0.41193137,0.046354968
448213471176189952 ,18.726091,0.30327076,0.044263925
448213746054096896 ,18.64713,0.47378877,0.043421492
448214020932003840 ,18.63438,0.5320617,0.047595926
448214295809910784 ,18.713352,0.550899,0.047860354
448214845565724672 ,18.729742,0.47563896,0.04514531
448215120443631616 ,18.73999,0.4308037,0.04481899
448215395321538560 ,18.725916,0.507402,0.043751054
448216219955259392 ,18.729465,0.6245807,0.047574464
448216769711073280 ,18.67612,0.1327636,0.04107033
448217044588980224 ,18.628382,0.32449788,0.043627523
448217319466887168 ,18.682795,0.28599733,0.045153346
448217594344794112 ,18.69679,0.6321251,0.04730277
448217869222701056 ,18.734428,0.13070087,0.04148681
448218144100608000 ,18.703032,0.22996978,0.046161532
448223916536653824 ,18.808022,0.2893141,0.045965333
448225016048281600 ,18.780584,0.46579778,0.042412758
448225290926188544 ,18.785044,0.30363244,0.04642597
448225565804095488 ,18.78638,0.57601005,0.04538285
448225840682002432 ,18.818445,0.18873078,0.044968534
